"name" "left" "right" "strand" "number" "genes"
"38" "adhE" 1295446 1298121 "reverse" 1 "adhE"
"39" "adhP" 1552828 1553838 "reverse" 1 "adhP"
"40" "adiA" 4338254 4340521 "reverse" 1 "adiA"
"41" "adiC" 4335694 4337031 "reverse" 1 "adiC"
"42" "adiY" 4337168 4337929 "reverse" 1 "adiY"
"43" "adk" 497175 497819 "forward" 1 "adk"
"44" "aegA" 2583546 2585525 "reverse" 1 "aegA"
"45" "aer" 3217556 3219076 "reverse" 1 "aer"
"46" "aes" 499014 499973 "reverse" 1 "aes"
"47" "agaR" 3277856 3278665 "reverse" 1 "agaR"
"48" "agaS-kbaY-agaBCDI" 3281976 3287025 "forward" 6 "agaS,kbaY,agaB,agaC,agaD,agaI"
"49" "agp" 1065585 1066826 "forward" 1 "agp"
"50" "agrA" 3648063 3648146 "forward" 1 "agrA"
"51" "agrB" 3648294 3648377 "forward" 1 "agrB"
"52" "ahpCF" 638945 641318 "forward" 2 "ahpC,ahpF"
"53" "ahr" 4495190 4496209 "reverse" 1 "ahr"
"54" "aidB" 4414275 4415900 "forward" 1 "aidB"
"55" "ais" 2365018 2365620 "reverse" 1 "ais"
"56" "alaA-yfbR" 2407561 2409461 "forward" 2 "alaA,yfbR"
"57" "alaC" 2497057 2498295 "reverse" 1 "alaC"
"58" "alaE" 2799164 2799613 "forward" 1 "alaE"
"59" "alaS" 2819381 2822011 "reverse" 1 "alaS"
"60" "alaWX" 2518041 2518231 "reverse" 2 "alaW,alaX"
"61" "aldA" 1488232 1489671 "forward" 1 "aldA"
"62" "aldB" 3754973 3756511 "reverse" 1 "aldB"
"63" "alkA" 2146692 2147540 "reverse" 1 "alkA"
"64" "allA" 532451 532933 "forward" 1 "allA"
"65" "allDCE" 543261 546363 "reverse" 3 "allD,allC,allE"
"66" "allR" 533011 533826 "forward" 1 "allR"
"67" "allS" 531295 532221 "reverse" 1 "allS"
"68" "alpA" 2758644 2758856 "forward" 1 "alpA"
"69" "alr" 4265782 4266861 "forward" 1 "alr"
"70" "alsK" 4306870 4307799 "reverse" 1 "alsK"
"71" "alx" 3238580 3239545 "forward" 1 "alx"
"72" "amiA-hemF" 2552352 2554124 "forward" 2 "amiA,hemF"
"73" "amiC" 2947757 2949010 "reverse" 1 "amiC"
"74" "amn" 2055061 2056515 "forward" 1 "amn"
"75" "ampC" 4377811 4378944 "reverse" 1 "ampC"
"76" "ampDE" 118733 120135 "forward" 2 "ampD,ampE"
"77" "ampH" 395130 396287 "reverse" 1 "ampH"
"78" "amyA" 2006156 2007643 "forward" 1 "amyA"
"79" "anmK" 1718493 1719602 "reverse" 1 "anmK"
"80" "ansA-pncA" 1850860 1852528 "forward" 2 "ansA,pncA"
"81" "ansB" 3099682 3100728 "reverse" 1 "ansB"
"82" "ansP" 1524481 1525980 "reverse" 1 "ansP"
"83" "aphA" 4269414 4270127 "forward" 1 "aphA"
"84" "appCBXA" 1037740 1041915 "forward" 4 "appC,appB,appX,appA"
"85" "appY" 583681 584430 "forward" 1 "appY"
"86" "apt" 491412 491963 "forward" 1 "apt"
"87" "aqpZ" 915352 916047 "reverse" 1 "aqpZ"
"88" "araBAD" 65855 70048 "reverse" 3 "araB,araA,araD"
"89" "araC" 70387 71265 "forward" 1 "araC"
"90" "araE-ygeA" 2979943 2982182 "reverse" 2 "araE,ygeA"
"91" "araFGH" 1982554 1986128 "reverse" 3 "araF,araG,araH"
"92" "araJ" 411297 412481 "reverse" 1 "araJ"
"93" "arcA" 4639590 4640306 "reverse" 1 "arcA"
"94" "arcB" 3350689 3353025 "reverse" 1 "arcB"
"95" "arcZ" 3350577 3350697 "forward" 1 "arcZ"
"96" "arfA" 3438431 3438649 "reverse" 1 "arfA"
"97" "argA" 2949242 2950573 "forward" 1 "argA"
"98" "argCBH" 4155001 4158223 "forward" 3 "argC,argB,argH"
"99" "argD" 3488960 3490180 "reverse" 1 "argD"
"100" "argE" 4153696 4154847 "reverse" 1 "argE"
"101" "argF" 289301 290305 "reverse" 1 "argF"
"102" "argG" 3318637 3319980 "forward" 1 "argG"
"103" "argI" 4477307 4478311 "reverse" 1 "argI"
"104" "argO" 3068173 3068808 "reverse" 1 "argO"
"105" "argP" 3059753 3060646 "forward" 1 "argP"
"106" "argR" 3384703 3385173 "forward" 1 "argR"
"107" "argS" 1960062 1961795 "forward" 1 "argS"
"108" "argT-hisJQMP" 2423736 2427791 "reverse" 5 "argT,hisJ,hisQ,hisM,hisP"
"109" "argU" 564723 564799 "forward" 1 "argU"
"110" "argW" 2466309 2466383 "forward" 1 "argW"
"111" "argX-hisR-leuT-proM" 3982375 3982811 "forward" 4 "argX,hisR,leuT,proM"
"112" "arnBCADTEF" 2365910 2373278 "forward" 7 "arnB,arnC,arnA,arnD,arnT,arnE,arnF"
"113" "aroF-tyrA" 2738948 2741150 "reverse" 2 "aroF,tyrA"
"114" "aroG" 785633 786685 "forward" 1 "aroG"
"115" "aroH" 1788435 1789481 "forward" 1 "aroH"
"116" "aroKB-damX-dam-rpe-gph-trpS" 3512634 3519064 "reverse" 7 "aroK,aroB,damX,dam,rpe,gph,trpS"
"117" "aroL-yaiA-aroM" 406405 408105 "forward" 3 "aroL,yaiA,aroM"
"118" "aroP" 120178 121551 "reverse" 1 "aroP"
"119" "arpA" 4220301 4222487 "reverse" 1 "arpA"
"120" "arpB_1B_2" 1803094 1804993 "forward" 2 "arpB_1,arpB_2"
"121" "arrS" 3657986 3658054 "reverse" 1 "arrS"
"122" "arsRBC" 3648528 3650662 "forward" 3 "arsR,arsB,arsC"
"123" "artJ" 899844 900575 "reverse" 1 "artJ"
"124" "artPIQM" 900866 903734 "reverse" 4 "artP,artI,artQ,artM"
"125" "ascFB" 2839524 2842414 "forward" 2 "ascF,ascB"
"126" "ascG" 2838254 2839264 "reverse" 1 "ascG"
"127" "asd" 3573775 3574878 "reverse" 1 "asd"
"128" "aslA" 3984352 3986007 "reverse" 1 "aslA"
"129" "aslB" 3982958 3984193 "forward" 1 "aslB"
"130" "asmA" 2139759 2141612 "reverse" 1 "asmA"
"131" "asnA" 3927155 3928147 "forward" 1 "asnA"
"132" "asnB" 697513 699177 "reverse" 1 "asnB"
"133" "asnC-mioC-mnmG-rsmG" 3923057 3927003 "reverse" 4 "asnC,mioC,mnmG,rsmG"
"134" "asnS" 987585 988985 "reverse" 1 "asnS"
"135" "asnT" 2044549 2044624 "forward" 1 "asnT"
"136" "asnU" 2059851 2059926 "forward" 1 "asnU"
"137" "asnV" 2062260 2062335 "forward" 1 "asnV"
"138" "asnW" 2058027 2058102 "reverse" 1 "asnW"
"139" "aspA-dcuA" 4365472 4368327 "reverse" 2 "aspA,dcuA"
"140" "aspC" 984519 985709 "reverse" 1 "aspC"
"141" "aspS" 1948750 1950522 "reverse" 1 "aspS"
"142" "aspT" 3946872 3946948 "forward" 1 "aspT"
"143" "aspU" 228928 229004 "forward" 1 "aspU"
"144" "aspV" 236931 237007 "forward" 1 "aspV"
"145" "asr" 1671376 1671684 "forward" 1 "asr"
"146" "astCADBE" 1825955 1831982 "reverse" 5 "astC,astA,astD,astB,astE"
"147" "atl" 475982 476371 "reverse" 1 "atl"
"148" "atoDAEB" 2323447 2327293 "forward" 4 "atoD,atoA,atoE,atoB"
"149" "atoSC" 2320043 2323251 "forward" 2 "atoS,atoC"
"150" "atpIBEFHAGDC" 3915553 3922440 "reverse" 9 "atpI,atpB,atpE,atpF,atpH,atpA,atpG,atpD,atpC"
"151" "avtA" 3739705 3740958 "forward" 1 "avtA"
"152" "azoR" 1482255 1482860 "reverse" 1 "azoR"
"153" "azuC" 1987873 1987959 "reverse" 1 "azuC"
"154" "bacA" 3203310 3204131 "reverse" 1 "bacA"
"155" "bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE" 197928 208608 "forward" 8 "bamA,skp,lpxD,fabZ,lpxA,lpxB,rnhB,dnaE"
"156" "bamB-der" 2635884 2638652 "reverse" 2 "bamB,der"
"157" "bamD" 2736146 2736883 "forward" 1 "bamD"
"158" "bamE" 2753605 2753946 "forward" 1 "bamE"
"159" "barA" 2915057 2917813 "forward" 1 "barA"
"160" "basRS" 4332181 4333950 "reverse" 2 "basR,basS"
"161" "bax" 3736353 3737177 "reverse" 1 "bax"
"162" "bcp" 2600478 2600948 "forward" 1 "bcp"
"163" "bcr" 2278570 2279760 "reverse" 1 "bcr"
"164" "bcsABZC" 3685700 3695236 "reverse" 4 "bcsA,bcsB,bcsZ,bcsC"
"165" "bcsEFG" 3696458 3699893 "forward" 3 "bcsE,bcsF,bcsG"
"166" "bcsQ" 3695233 3695961 "reverse" 1 "bcsQ"
"167" "bdcA" 4473340 4474053 "reverse" 1 "bdcA"
"168" "bdcR" 4474124 4474717 "forward" 1 "bdcR"
"169" "bdm-sra" 1555826 1556280 "reverse" 2 "bdm,sra"
"170" "bepA-yfgD" 2616094 2617937 "forward" 2 "bepA,yfgD"
"171" "betIBA" 325577 329334 "reverse" 3 "betI,betB,betA"
"172" "betT" 329463 331496 "forward" 1 "betT"
"173" "bfd-bfr" 3466249 3466991 "reverse" 2 "bfd,bfr"
"174" "bglA" 3043662 3045101 "forward" 1 "bglA"
"175" "bglGFB" 3902289 3906567 "reverse" 3 "bglG,bglF,bglB"
"176" "bglH-yieLK" 3898671 3902220 "reverse" 3 "bglH,yieL,yieK"
"177" "bglX" 2219692 2221989 "reverse" 1 "bglX"
"178" "bhsA" 1169073 1169330 "forward" 1 "bhsA"
"179" "bioA" 807968 809257 "reverse" 1 "bioA"
"180" "bioBFCD" 809344 812947 "forward" 4 "bioB,bioF,bioC,bioD"
"181" "bioH" 3544074 3544844 "reverse" 1 "bioH"
"182" "bipA" 4058407 4060230 "forward" 1 "bipA"
"183" "bisC" 3714061 3716394 "reverse" 1 "bisC"
"184" "blc" 4377189 4377722 "reverse" 1 "blc"
"185" "blr" 1704551 1704676 "forward" 1 "blr"
"186" "bluF" 1214264 1215475 "reverse" 1 "bluF"
"187" "bluR" 1213328 1214059 "reverse" 1 "bluR"
"188" "bolA" 454472 454789 "forward" 1 "bolA"
"189" "borD" 578600 578893 "reverse" 1 "borD"
"190" "brnQ-proY" 419591 422359 "forward" 2 "brnQ,proY"
"191" "bsmA" 4416441 4416770 "reverse" 1 "bsmA"
"192" "bssR" 878248 878631 "forward" 1 "bssR"
"193" "bssS" 1120701 1120955 "reverse" 1 "bssS"
"194" "btuB-murI" 4163639 4166285 "forward" 2 "btuB,murI"
"195" "btuCED" 1792809 1795152 "reverse" 3 "btuC,btuE,btuD"
"196" "cadBA" 4356470 4360031 "reverse" 2 "cadB,cadA"
"197" "cadC" 4360396 4361934 "reverse" 1 "cadC"
"198" "caiF" 34300 34695 "forward" 1 "caiF"
"199" "caiTABCDE" 34781 41931 "reverse" 6 "caiT,caiA,caiB,caiC,caiD,caiE"
"200" "can" 142008 142670 "reverse" 1 "can"
"201" "carAB" 29651 34038 "forward" 2 "carA,carB"
"202" "cas3" 2884553 2887219 "reverse" 1 "cas3"
"203" "casABCDE12" 2878569 2884138 "reverse" 7 "casA,casB,casC,casD,casE,cas1,cas2"
"204" "cbl" 2059964 2060914 "reverse" 1 "cbl"
"205" "cbpAM" 1062550 1063775 "reverse" 2 "cbpA,cbpM"
"206" "cbrA" 3869377 3870441 "forward" 1 "cbrA"
"207" "cbrBC" 3897506 3898609 "forward" 2 "cbrB,cbrC"
"208" "cdaR" 182463 183620 "forward" 1 "cdaR"
"209" "cdd" 2231844 2232728 "forward" 1 "cdd"
"210" "cdgI" 1870385 1871860 "forward" 1 "cdgI"
"211" "cdh" 4109930 4110685 "forward" 1 "cdh"
"212" "cdsA" 195677 196534 "forward" 1 "cdsA"
"213" "cecR-ybhGFSR" 825002 830643 "reverse" 5 "cecR,ybhG,ybhF,ybhS,ybhR"
"214" "cedA" 1813421 1813663 "reverse" 1 "cedA"
"215" "cfa" 1741413 1742561 "forward" 1 "cfa"
"216" "chaA" 1270749 1271849 "reverse" 1 "chaA"
"217" "chaBC" 1272119 1273202 "forward" 2 "chaB,chaC"
"218" "chbBCARFG" 1816386 1821619 "reverse" 6 "chbB,chbC,chbA,chbR,chbF,chbG"
"219" "chiA" 3467160 3469853 "reverse" 1 "chiA"
"220" "chiP-ybfN" 708334 710116 "forward" 2 "chiP,ybfN"
"221" "chiX" 507204 507287 "forward" 1 "chiX"
"222" "cho" 1823515 1824402 "forward" 1 "cho"
"223" "chpSB" 4448447 4449042 "forward" 2 "chpS,chpB"
"224" "cirA" 2244778 2246769 "reverse" 1 "cirA"
"225" "citCDEFXG" 646631 651856 "reverse" 6 "citC,citD,citE,citF,citX,citG"
"226" "citT" 645117 646580 "reverse" 1 "citT"
"227" "clcA" 175107 176528 "forward" 1 "clcA"
"228" "clcB" 1665315 1666571 "forward" 1 "clcB"
"229" "clpA" 923264 925540 "forward" 1 "clpA"
"230" "clpB" 2731600 2734173 "reverse" 1 "clpB"
"231" "clpPX-lon" 456677 461242 "forward" 3 "clpP,clpX,lon"
"232" "clpS" 922913 923233 "forward" 1 "clpS"
"233" "clsA-yciU" 1306821 1308645 "reverse" 2 "clsA,yciU"
"234" "cmk-rpsA-ihfB" 961201 964112 "forward" 3 "cmk,rpsA,ihfB"
"235" "cmoM-mukFEB" 973537 980786 "forward" 4 "cmoM,mukF,mukE,mukB"
"236" "cmtBA-yggPFDC" 3073976 3079330 "reverse" 6 "cmtB,cmtA,yggP,yggF,yggD,yggC"
"237" "cnu" 1704949 1705164 "forward" 1 "cnu"
"238" "coaA" 4174076 4175026 "reverse" 1 "coaA"
"239" "coaE-zapD-yacG" 111649 113219 "reverse" 3 "coaE,zapD,yacG"
"240" "cobUST" 2063388 2065764 "reverse" 3 "cobU,cobS,cobT"
"241" "codBA" 354922 357454 "forward" 2 "codB,codA"
"242" "cof" 467412 468230 "forward" 1 "cof"
"243" "comR" 1168200 1168832 "reverse" 1 "comR"
"244" "copA" 508875 511379 "reverse" 1 "copA"
"245" "corA" 4001426 4002376 "forward" 1 "corA"
"246" "cpdB" 4434622 4436565 "reverse" 1 "cpdB"
"247" "cpxPQ" 4105820 4106387 "forward" 2 "cpxP,cpxQ"
"248" "cpxRA" 4103602 4105670 "reverse" 2 "cpxR,cpxA"
"249" "cra" 88028 89032 "forward" 1 "cra"
"250" "crcB" 657555 657938 "reverse" 1 "crcB"
"251" "creABCD" 4635521 4639530 "forward" 4 "creA,creB,creC,creD"
"252" "crfC-yjcZ" 4327135 4330238 "forward" 2 "crfC,yjcZ"
"253" "crl" 257829 259006 "forward" 1 "crl"
"254" "crp" 3486120 3486752 "forward" 1 "crp"
"255" "csdAE" 2943337 2944985 "forward" 2 "csdA,csdE"
"256" "csgBAC" 1103951 1105293 "forward" 3 "csgB,csgA,csgC"
"257" "csgDEFG" 1100851 1103196 "reverse" 4 "csgD,csgE,csgF,csgG"
"258" "csiD-lhgO-gabDTP" 2788985 2795653 "forward" 5 "csiD,lhgO,gabD,gabT,gabP"
"259" "csiE" 2665435 2666715 "forward" 1 "csiE"
"260" "csiR" 2795674 2796336 "forward" 1 "csiR"
"261" "cspA" 3720049 3720261 "forward" 1 "cspA"
"262" "cspB" 1641339 1641554 "reverse" 1 "cspB"
"263" "cspD" 922366 922590 "reverse" 1 "cspD"
"264" "cspE" 657292 657501 "forward" 1 "cspE"
"265" "cspF" 1641855 1642067 "forward" 1 "cspF"
"266" "cspG" 1051461 1051673 "forward" 1 "cspG"
"267" "cspH" 1050963 1051175 "reverse" 1 "cspH"
"268" "cspI" 1638455 1638667 "reverse" 1 "cspI"
"269" "csrA" 2818961 2819146 "reverse" 1 "csrA"
"270" "csrB" 2924156 2924524 "reverse" 1 "csrB"
"271" "csrC" 4051036 4051280 "forward" 1 "csrC"
"272" "csrD" 3401392 3403332 "reverse" 1 "csrD"
"273" "cstA" 629894 631999 "forward" 1 "cstA"
"274" "cueO" 137083 138633 "forward" 1 "cueO"
"275" "cueR" 513993 514400 "forward" 1 "cueR"
"276" "curA" 1519027 1520064 "forward" 1 "curA"
"277" "cusCFBA" 595600 601857 "forward" 4 "cusC,cusF,cusB,cusA"
"278" "cusRS" 593328 595443 "reverse" 2 "cusR,cusS"
"279" "cutA" 4365018 4365356 "reverse" 1 "cutA"
"280" "cvpA-purF-ubiX" 2428057 2430763 "reverse" 3 "cvpA,purF,ubiX"
"281" "cvrA" 1240335 1242071 "reverse" 1 "cvrA"
"282" "cyaA" 3991153 3993699 "forward" 1 "cyaA"
"283" "cyaR" 2167114 2167200 "forward" 1 "cyaR"
"284" "cyaY" 3993739 3994059 "reverse" 1 "cyaY"
"285" "cybB" 1490902 1491432 "forward" 1 "cybB"
"286" "cybC" 4459553 4459855 "forward" 1 "cybC"
"287" "cycA" 4429864 4431276 "forward" 1 "cycA"
"288" "cydAB" 771458 774181 "forward" 2 "cydA,cydB"
"289" "cydDC" 927474 930962 "reverse" 2 "cydD,cydC"
"290" "cydX-ybgE" 774196 774602 "forward" 2 "cydX,ybgE"
"291" "cynR" 357791 358690 "reverse" 1 "cynR"
"292" "cynTSX" 358799 361146 "forward" 3 "cynT,cynS,cynX"
"293" "cyoABCDE" 446815 451610 "reverse" 5 "cyoA,cyoB,cyoC,cyoD,cyoE"
"294" "cysB" 1333855 1334829 "forward" 1 "cysB"
"295" "cysDNC" 2873387 2876329 "reverse" 3 "cysD,cysN,cysC"
"296" "cysE" 3781741 3782562 "reverse" 1 "cysE"
"297" "cysJIH" 2887578 2891898 "reverse" 3 "cysJ,cysI,cysH"
"298" "cysK" 2532409 2533380 "forward" 1 "cysK"
"299" "cysPUWAM" 2538672 2543528 "reverse" 5 "cysP,cysU,cysW,cysA,cysM"
"300" "cysQ" 4436755 4437495 "forward" 1 "cysQ"
"301" "cysS" 554611 555996 "forward" 1 "cysS"
"302" "cysZ" 2531463 2532224 "forward" 1 "cysZ"
"303" "cytR" 4123431 4124456 "reverse" 1 "cytR"
"304" "dacA" 662752 663963 "reverse" 1 "dacA"
"305" "dacB" 3328963 3330396 "forward" 1 "dacB"
"306" "dacC" 880727 881929 "forward" 1 "dacC"
"307" "dacD" 2081381 2082547 "reverse" 1 "dacD"
"308" "dadAX" 1237571 1239949 "forward" 2 "dadA,dadX"
"309" "dapA-bamC" 2597831 2599760 "reverse" 2 "dapA,bamC"
"310" "dapB" 28374 29195 "forward" 1 "dapB"
"311" "dauA" 1259124 1260803 "reverse" 1 "dauA"
"312" "dcm-vsr" 2030448 2032317 "reverse" 2 "dcm,vsr"
"313" "dcp" 1625335 1627380 "reverse" 1 "dcp"
"314" "dcrB" 3609955 3610512 "forward" 1 "dcrB"
"315" "dctA" 3682161 3683447 "reverse" 1 "dctA"
"316" "dcuB-fumB" 4345680 4348744 "reverse" 2 "dcuB,fumB"
"317" "dcuC" 654583 655968 "reverse" 1 "dcuC"
"318" "dcuD" 3374869 3376236 "forward" 1 "dcuD"
"319" "dcuSR" 4349315 4351662 "reverse" 2 "dcuS,dcuR"
"320" "dcyD-tcyLN" 1997062 1999480 "reverse" 3 "dcyD,tcyL,tcyN"
"321" "ddlA" 399829 400923 "reverse" 1 "ddlA"
"322" "ddpXABCDF" 1557112 1563076 "reverse" 6 "ddpX,ddpA,ddpB,ddpC,ddpD,ddpF"
"323" "decR" 468383 468841 "forward" 1 "decR"
"324" "def-fmt" 3433690 3435161 "forward" 2 "def,fmt"
"325" "degP" 180884 182308 "forward" 1 "degP"
"326" "degQS" 3380743 3383267 "forward" 2 "degQ,degS"
"327" "deoCABD" 4617323 4621602 "forward" 4 "deoC,deoA,deoB,deoD"
"328" "deoR" 881976 882734 "reverse" 1 "deoR"
"329" "dfp" 3812731 3813951 "forward" 1 "dfp"
"330" "dgcC" 403703 404818 "forward" 1 "dgcC"
"331" "dgcE" 2143266 2146583 "forward" 1 "dgcE"
"332" "dgcF" 1610907 1611854 "reverse" 1 "dgcF"
"333" "dgcJ" 1872041 1873531 "forward" 1 "dgcJ"
"334" "dgcM" 1406563 1407795 "reverse" 1 "dgcM"
"335" "dgcP" 1877715 1878740 "forward" 1 "dgcP"
"336" "dgcQ" 2026323 2028017 "reverse" 1 "dgcQ"
"337" "dgcT" 1092876 1094234 "forward" 1 "dgcT"
"338" "dgcZ" 1622960 1623850 "reverse" 1 "dgcZ"
"339" "dgkA" 4256637 4257005 "forward" 1 "dgkA"
"340" "dgoRKADT" 3870438 3875160 "reverse" 5 "dgoR,dgoK,dgoA,dgoD,dgoT"
"341" "dgt" 179237 180754 "forward" 1 "dgt"
"342" "dhaKLM" 1247696 1250838 "reverse" 3 "dhaK,dhaL,dhaM"
"343" "dhaR" 1251066 1252985 "forward" 1 "dhaR"
"344" "diaA" 3295809 3296399 "forward" 1 "diaA"
"345" "dicA" 1647934 1648341 "forward" 1 "dicA"
"346" "dicB-ydfDE-insD-intQ" 1649609 1652708 "forward" 5 "dicB,ydfD,ydfE,insD,intQ"
"347" "dicC-ydfXW" 1647174 1647850 "reverse" 3 "dicC,ydfX,ydfW"
"348" "dicF" 1649382 1649434 "forward" 1 "dicF"
"349" "dinB-yafNOP" 250898 253161 "forward" 4 "dinB,yafN,yafO,yafP"
"350" "dinD" 3817760 3818584 "forward" 1 "dinD"
"351" "dinG" 833070 835220 "forward" 1 "dinG"
"352" "dinI" 1121242 1121487 "reverse" 1 "dinI"
"353" "dinJ-yafQ" 245961 246502 "reverse" 2 "dinJ,yafQ"
"354" "dinQ" 3647705 3647788 "reverse" 1 "dinQ"
"355" "djlA" 57364 58179 "forward" 1 "djlA"
"356" "dkgB" 229167 229970 "forward" 1 "dkgB"
"357" "dld" 2222185 2223900 "forward" 1 "dld"
"358" "dmlA" 1881912 1882997 "forward" 1 "dmlA"
"359" "dmlR" 1880886 1881809 "reverse" 1 "dmlR"
"360" "dmsABC" 940959 944896 "forward" 3 "dmsA,dmsB,dmsC"
"361" "dnaAN-recF" 3880148 3883729 "reverse" 3 "dnaA,dnaN,recF"
"362" "dnaB" 4264314 4265729 "forward" 1 "dnaB"
"363" "dnaK-tpke11-dnaJ" 12163 15298 "forward" 3 "dnaK,tpke11,dnaJ"
"364" "dnaQ" 236067 236798 "forward" 1 "dnaQ"
"365" "dnaX" 492092 494023 "forward" 1 "dnaX"
"366" "dosCP" 1563334 1567140 "reverse" 2 "dosC,dosP"
"367" "dpiBA" 652235 654542 "forward" 2 "dpiB,dpiA"
"368" "dppABCDF" 3701864 3707705 "reverse" 5 "dppA,dppB,dppC,dppD,dppF"
"369" "dps" 848408 848911 "reverse" 1 "dps"
"370" "dsbB" 1232500 1233030 "reverse" 1 "dsbB"
"371" "dsbD-yjdC" 4362733 4365042 "reverse" 2 "dsbD,yjdC"
"372" "dsbG" 637827 638573 "reverse" 1 "dsbG"
"373" "dsdC" 2476694 2477629 "reverse" 1 "dsdC"
"374" "dsdXA" 2477847 2480530 "forward" 2 "dsdX,dsdA"
"375" "dsrA" 2025227 2025313 "reverse" 1 "dsrA"
"376" "dsrB" 2024635 2024823 "reverse" 1 "dsrB"
"377" "dtpA" 1712769 1714271 "forward" 1 "dtpA"
"378" "dtpB" 3640862 3642331 "forward" 1 "dtpB"
"379" "dtpC" 4354954 4356411 "reverse" 1 "dtpC"
"380" "dtpD" 741075 742556 "reverse" 1 "dtpD"
"381" "dusA" 4261669 4262706 "forward" 1 "dusA"
"382" "dusB-fis" 3410280 3411567 "forward" 2 "dusB,fis"
"383" "dusC" 2229438 2230385 "reverse" 1 "dusC"
"384" "dut-slmA" 3813932 3815090 "forward" 2 "dut,slmA"
"385" "dxr" 193521 194717 "forward" 1 "dxr"
"386" "eaeH-insE-1EF-1F-1" 314357 316453 "forward" 4 "eaeH,insE-1,insEF-1,insF-1"
"387" "eamA" 1620238 1621137 "reverse" 1 "eamA"
"388" "eamB" 2715423 2716010 "forward" 1 "eamB"
"389" "ebgAC" 3222633 3226171 "forward" 2 "ebgA,ebgC"
"390" "ebgR" 3221466 3222449 "forward" 1 "ebgR"
"391" "ecnAB" 4376317 4376699 "forward" 2 "ecnA,ecnB"
"392" "eco" 2303905 2304393 "forward" 1 "eco"
"393" "ecpA" 310084 310671 "reverse" 1 "ecpA"
"394" "ecpBCDE" 304495 310026 "reverse" 4 "ecpB,ecpC,ecpD,ecpE"
"395" "ecpR" 310746 311336 "reverse" 1 "ecpR"
"396" "edd-eda" 1932115 1934604 "reverse" 2 "edd,eda"
"397" "efeOB" 1082243 1084647 "forward" 2 "efeO,efeB"
"398" "efeU_1U_2" 1081356 1082185 "forward" 2 "efeU_1,efeU_2"
"399" "efp" 4375699 4376265 "forward" 1 "efp"
"400" "elaA" 2381082 2381543 "reverse" 1 "elaA"
"401" "elaB" 2380722 2381027 "reverse" 1 "elaB"
"402" "elaD" 2382713 2383924 "forward" 1 "elaD"
"403" "elbB-mtgA" 3349081 3350459 "reverse" 2 "elbB,mtgA"
"404" "elfA" 997868 998407 "forward" 1 "elfA"
"405" "elfDCG-ycbUVF" 998490 1004657 "forward" 6 "elfD,elfC,elfG,ycbU,ycbV,ycbF"
"406" "elyC" 972622 973401 "reverse" 1 "elyC"
"407" "emrD" 3853922 3855106 "forward" 1 "emrD"
"408" "emrKY" 2480638 2483339 "reverse" 2 "emrK,emrY"
"409" "emtA" 1243180 1243791 "forward" 1 "emtA"
"410" "endA" 3090347 3091054 "forward" 1 "endA"
